CupomID;ProdutoID;Produto;Categoria;Quantidade;Valor;Custo;Lucro
10262;7;Conserve Shoes;Childrens wear;15;574.5;496.37;78.13
10262;56;High Heels Shoes;Womens Footwear;2;69.1;59.7;9.4
10263;16;Wimbledon T-Shirt;Sportwear;60;709.5;490.41;219.09
10263;24;Samba Socker  Socks;Mens Clothes;28;114.52;100.78;13.74
10263;30;Baby Dark Lounge Suit;Babywear;60;1992.75;1377.39;615.36
10263;74;Nikee Running Shoes;Childrens wear;36;1254.15;866.87;387.28
10264;2;Mr X Trousers;Mens Clothes;35;719.25;621.43;97.82
10264;41;Duck Shirt;Babywear;25;274.56;211.52;63.04
10265;17;TieBreak Tennis shoes;Mens Footwear;30;717.0;619.49;97.51
10265;70;US-Master Jeans;Mens Clothes;20;556.2;486.5;69.7
10266;12;Tiny Winy Hot Bikini;Bath Clothes;12;128.02;105.34;22.68
10267;40;Duck Trousers;Babywear;50;935.5;808.27;127.23
10267;59;Rasta WCT;Sportwear;70;697.13;523.76;173.37
10267;76;Minnki Pälsii;Womens wear;15;6356.8;4775.89;1580.91
10268;29;Davenport;Mens Footwear;10;1173.0;1013.47;159.53
10268;72;Rossi Shorts;Bath Clothes;4;50.56;43.68;6.88
10269;33;Car Boots;Sportwear;60;1726.2;1420.42;305.78
10269;72;Rossi Shorts;Bath Clothes;20;255.57;210.3;45.27
10270;36;Mehmet-Tröja;Babywear;30;233.4;201.66;31.74
10270;43;Summer Shorts;Bath Clothes;25;326.5;282.1;44.4
10271;33;Car Boots;Sportwear;24;577.44;498.91;78.53
10272;20;Tennis Suit;Sportwear;6;529.5;457.49;72.01
10272;31;Rossi Bermuda Shorts;Bath Clothes;40;312.4;269.91;42.49
10272;72;Rossi Shorts;Bath Clothes;24;282.24;263.43;18.81
10273;10;Sapporoo Gloves;Babywear;24;173.38;142.66;30.71
10273;31;Rossi Bermuda Shorts;Bath Clothes;15;140.96;115.99;24.97
10273;33;Car Boots;Sportwear;20;509.0;439.78;69.22
10273;40;Duck Trousers;Babywear;60;1219.05;1003.1;215.95
10273;76;Minnki Pälsii;Womens wear;33;14281.34;11751.51;2529.84
10274;71;Atles Lussekofta;Mens Clothes;20;623.4;538.62;84.78
10274;72;Rossi Shorts;Bath Clothes;7;83.93;72.52;11.41
10275;24;Samba Socker  Socks;Mens Clothes;12;51.91;46.05;5.86
10275;59;Rasta WCT;Sportwear;6;56.2;46.24;9.95
10276;10;Sapporoo Gloves;Babywear;15;103.8;89.68;14.12
10276;13;Aino Shoes;Babywear;10;274.5;237.17;37.33
10277;28;RDL Suit;Childrens wear;20;889.6;768.61;120.99
10277;62;Sheat Shoes;Sportwear;12;360.96;311.87;49.09
10278;44;Okkaba Skin Jackets;Womens wear;16;1292.48;1116.7;175.78
10278;59;Rasta WCT;Sportwear;15;128.55;115.22;13.33
10278;63;Serve-Shirt;Womens wear;8;168.16;145.29;22.87
10278;73;Mehmet-Napp;Babywear;25;26.75;23.11;3.64
10279;17;TieBreak Tennis shoes;Mens Footwear;15;506.63;372.12;134.5
10280;24;Samba Socker  Socks;Mens Clothes;12;51.0;44.06;6.94
10280;55;Feiss Fleece Trousers;Sportwear;20;849.4;733.88;115.52
10280;75;Bow tie;Mens Clothes;30;216.3;186.88;29.42
10281;19;Squash Shorts;Sportwear;1;9.9;8.55;1.35
10281;24;Samba Socker  Socks;Mens Clothes;6;25.08;21.67;3.41
10281;35;LA. Shorts;Bath Clothes;4;25.48;22.44;3.04
10282;30;Baby Dark Lounge Suit;Babywear;6;158.28;136.75;21.53
10282;57;Burned Rubber Shoes;Womens Footwear;2;42.04;36.32;5.72
10283;15;Sumi Underwear;Womens wear;20;130.6;112.84;17.76
10283;19;Squash Shorts;Sportwear;18;165.24;142.77;22.47
10283;60;Game Over T-Shirt;Sportwear;35;181.3;156.64;24.66
10283;72;Rossi Shorts;Bath Clothes;3;34.98;30.22;4.76
10284;27;Tracksuit;Sportwear;15;806.81;557.67;249.14
10284;44;Okkaba Skin Jackets;Womens wear;21;1435.77;1240.51;195.26
10284;60;Game Over T-Shirt;Sportwear;20;118.25;81.73;36.52
10284;67;X-Dress;Womens wear;5;400.44;276.78;123.66
10285;1;Lenin Jeansshorts;Mens Clothes;45;1064.88;766.71;298.17
10285;40;Duck Trousers;Babywear;40;826.56;595.12;231.44
10285;53;Jumpin Jack Flash Dress;Womens wear;36;2633.47;1896.1;737.37
10286;35;LA. Shorts;Bath Clothes;100;606.0;523.58;82.42
10286;62;Sheat Shoes;Sportwear;40;1211.2;1046.48;164.72
10287;16;Wimbledon T-Shirt;Sportwear;40;408.48;306.89;101.59
10287;34;Baywatch Bikkini;Bath Clothes;20;153.4;132.54;20.86
10287;46;Rodbye Troje;Babywear;15;210.97;168.07;42.9
10288;54;Patamonia Fleece Jacket;Sportwear;10;369.82;290.48;79.34
10288;68;Cap;Sportwear;3;38.81;30.48;8.33
10289;3;Chantell Shirt;Womens wear;30;616.2;532.4;83.8
10289;64;WFS shoes;Womens Footwear;9;320.4;276.83;43.57
10290;5;O-Man Underwear;Mens Clothes;20;131.4;113.53;17.87
10290;29;Davenport;Mens Footwear;15;1890.45;1633.35;257.1
10290;49;Finnish Sport Blades;Sportwear;15;294.9;254.79;40.11
10290;77;Skirt;Womens wear;10;134.9;116.55;18.35
10291;13;Aino Shoes;Babywear;20;506.66;397.96;108.7
10291;44;Okkaba Skin Jackets;Womens wear;24;2182.75;1714.45;468.3
10291;51;Snake Boots;Mens Footwear;2;234.43;184.14;50.3
10292;20;Tennis Suit;Sportwear;20;1681.4;1452.73;228.67
10293;18;Deuce shirt;Babywear;12;328.56;283.88;44.68
10293;24;Samba Socker  Socks;Mens Clothes;10;41.1;35.51;5.59
10293;63;Serve-Shirt;Womens wear;5;105.3;90.98;14.32
10293;75;Bow tie;Mens Clothes;6;45.6;39.4;6.2
10294;1;Lenin Jeansshorts;Mens Clothes;18;389.88;336.86;53.02
10294;17;TieBreak Tennis shoes;Mens Footwear;15;369.3;319.08;50.22
10294;43;Summer Shorts;Bath Clothes;15;193.5;167.18;26.32
10294;60;Game Over T-Shirt;Sportwear;21;95.76;87.57;8.19
10294;75;Bow tie;Mens Clothes;6;49.32;42.61;6.71
10295;56;High Heels Shoes;Womens Footwear;4;139.36;120.41;18.95
10296;11;Desperado Jeans;Mens Clothes;12;319.44;276.0;43.44
10296;16;Wimbledon T-Shirt;Sportwear;30;280.8;242.61;38.19
10296;69;Racing Truck  Socks;Sportwear;15;28.35;24.49;3.86
10297;39;Terence Top;Womens wear;60;3561.0;3076.7;484.3
10297;72;Rossi Shorts;Bath Clothes;20;239.0;206.5;32.5
10298;2;Mr X Trousers;Mens Clothes;40;701.6;606.18;95.42
10298;36;Mehmet-Tröja;Babywear;40;367.0;253.67;113.33
10298;59;Rasta WCT;Sportwear;30;343.13;237.17;105.96
10298;62;Sheat Shoes;Sportwear;15;420.0;362.88;57.12
10299;19;Squash Shorts;Sportwear;15;137.55;118.84;18.71
10299;70;US-Master Jeans;Mens Clothes;20;581.6;502.5;79.1
10300;66;Langoste Shirt;Womens wear;30;596.7;515.76;80.94
10300;68;Cap;Sportwear;20;225.4;194.75;30.65
10301;40;Duck Trousers;Babywear;10;183.3;158.37;24.93
10301;56;High Heels Shoes;Womens Footwear;20;783.4;676.86;106.54
10302;17;TieBreak Tennis shoes;Mens Footwear;40;1026.0;886.46;139.54
10302;28;RDL Suit;Childrens wear;28;1198.68;1035.66;163.02
10302;43;Summer Shorts;Bath Clothes;12;129.84;112.18;17.66
10303;40;Duck Trousers;Babywear;40;775.28;608.95;166.33
10303;65;Stretch oui-pants;Womens wear;30;355.74;279.42;76.32
10303;68;Cap;Sportwear;15;210.71;165.5;45.21
10304;49;Finnish Sport Blades;Sportwear;30;593.7;512.96;80.74
10304;59;Rasta WCT;Sportwear;10;79.1;68.34;10.76
10304;71;Atles Lussekofta;Mens Clothes;2;59.52;51.43;8.09
10305;18;Deuce shirt;Babywear;25;757.9;595.3;162.6
10305;29;Davenport;Mens Footwear;25;3133.35;2461.1;672.25
10305;39;Terence Top;Womens wear;30;1889.25;1483.92;405.33
10306;30;Baby Dark Lounge Suit;Babywear;10;280.2;242.09;38.11
10306;53;Jumpin Jack Flash Dress;Womens wear;10;611.1;527.99;83.11
10306;54;Patamonia Fleece Jacket;Sportwear;5;189.4;163.64;25.76
10307;62;Sheat Shoes;Sportwear;10;272.7;235.61;37.09
10307;68;Cap;Sportwear;3;38.46;33.23;5.23
10308;69;Racing Truck  Socks;Sportwear;1;2.12;1.83;0.29
10308;70;US-Master Jeans;Mens Clothes;5;147.75;127.66;20.09
10309;4;Oyaki Kimono;Womens wear;20;432.8;373.94;58.86
10309;6;Shagall Socks;Womens wear;30;110.7;95.64;15.06
10309;42;Balett Shoes;Womens Footwear;2;27.24;23.54;3.7
10309;43;Summer Shorts;Bath Clothes;20;237.4;205.11;32.29
10309;71;Atles Lussekofta;Mens Clothes;3;89.28;77.14;12.14
10310;16;Wimbledon T-Shirt;Sportwear;10;85.3;73.7;11.6
10310;62;Sheat Shoes;Sportwear;5;160.95;139.06;21.89
10311;42;Balett Shoes;Womens Footwear;6;89.58;77.4;12.18
10311;69;Racing Truck  Socks;Sportwear;7;13.86;11.98;1.88
10312;28;RDL Suit;Childrens wear;4;196.68;179.47;17.21
10312;43;Summer Shorts;Bath Clothes;24;314.64;271.85;42.79
10312;53;Jumpin Jack Flash Dress;Womens wear;20;1264.6;1092.61;171.99
10312;75;Bow tie;Mens Clothes;10;76.3;65.92;10.38
10313;36;Mehmet-Tröja;Babywear;12;101.64;87.82;13.82
10314;32;Rossi Bikkini;Bath Clothes;40;874.72;687.05;187.67
10314;58;Ga-Ga Dress;Babywear;30;1451.01;1139.7;311.31
10314;62;Sheat Shoes;Sportwear;25;864.33;678.89;185.44
10315;34;Baywatch Bikkini;Bath Clothes;14;117.32;101.36;15.96
10315;70;US-Master Jeans;Mens Clothes;30;873.9;755.05;118.85
10316;41;Duck Shirt;Babywear;10;89.6;77.41;12.19
10316;62;Sheat Shoes;Sportwear;70;2053.1;1773.88;279.22
10317;1;Lenin Jeansshorts;Mens Clothes;20;362.4;313.11;49.29
10318;41;Duck Shirt;Babywear;20;191.2;165.2;26.0
10318;76;Minnki Pälsii;Womens wear;6;2214.96;1913.73;301.23
10319;17;TieBreak Tennis shoes;Mens Footwear;8;209.84;181.3;28.54
10319;28;RDL Suit;Childrens wear;14;682.78;589.92;92.86
10319;76;Minnki Pälsii;Womens wear;30;12119.1;10470.9;1648.2
10320;71;Atles Lussekofta;Mens Clothes;30;942.6;814.41;128.19
10321;35;LA. Shorts;Bath Clothes;10;54.3;46.92;7.38
10322;52;Small Crocodile Boots;Womens Footwear;20;1560.4;1348.19;212.21
10323;15;Sumi Underwear;Womens wear;5;30.6;26.44;4.16
10323;25;Basket Vest;Sportwear;4;57.36;49.56;7.8
10323;39;Terence Top;Womens wear;4;244.84;211.54;33.3
10324;16;Wimbledon T-Shirt;Sportwear;21;211.8;159.12;52.67
10324;35;LA. Shorts;Bath Clothes;70;452.41;339.9;112.51
10324;46;Rodbye Troje;Babywear;30;364.5;314.93;49.57
10324;59;Rasta WCT;Sportwear;40;382.26;287.19;95.07
10324;63;Serve-Shirt;Womens wear;80;1894.28;1423.18;471.1
10325;6;Shagall Socks;Womens wear;6;22.26;19.23;3.03
10325;13;Aino Shoes;Babywear;12;277.08;239.4;37.68
10325;14;Kool Sunglasses;Childrens wear;9;190.26;164.38;25.88
10325;31;Rossi Bermuda Shorts;Bath Clothes;4;31.2;26.96;4.24
10325;72;Rossi Shorts;Bath Clothes;40;438.4;378.78;59.62
10326;4;Oyaki Kimono;Womens wear;24;476.16;411.4;64.76
10326;57;Burned Rubber Shoes;Womens Footwear;16;287.04;248.0;39.04
10326;75;Bow tie;Mens Clothes;50;406.0;350.78;55.22
10327;2;Mr X Trousers;Mens Clothes;25;576.6;415.15;161.45
10327;11;Desperado Jeans;Mens Clothes;50;1746.0;1257.12;488.88
10327;30;Baby Dark Lounge Suit;Babywear;35;1008.84;726.36;282.48
10327;58;Ga-Ga Dress;Babywear;30;1582.92;1139.7;443.22
10328;59;Rasta WCT;Sportwear;9;75.51;65.24;10.27
10328;65;Stretch oui-pants;Womens wear;40;414.4;358.04;56.36
10328;68;Cap;Sportwear;10;121.3;104.8;16.5
10329;19;Squash Shorts;Sportwear;10;89.25;80.38;8.87
10329;30;Baby Dark Lounge Suit;Babywear;8;206.72;170.1;36.62
10329;38;Le Baby Dress;Womens wear;20;1624.56;1336.78;287.78
10329;56;High Heels Shoes;Womens Footwear;12;505.64;416.07;89.57
10330;26;Bike Helmet;Sportwear;50;1882.55;1414.37;468.18
10330;72;Rossi Shorts;Bath Clothes;25;311.65;246.62;65.03
10331;54;Patamonia Fleece Jacket;Sportwear;15;569.55;492.09;77.46
10332;18;Deuce shirt;Babywear;40;1191.36;857.78;333.58
10332;42;Balett Shoes;Womens Footwear;10;181.56;130.72;50.84
10332;47;Lundenhagen Boots;Mens Footwear;16;471.74;339.66;132.09
10333;14;Kool Sunglasses;Childrens wear;10;248.7;214.88;33.82
10333;21;Basket Shoes;Sportwear;10;115.5;99.1;16.4
10333;71;Atles Lussekofta;Mens Clothes;40;1364.44;1071.71;292.73
10334;52;Small Crocodile Boots;Womens Footwear;8;582.08;502.92;79.16
10334;68;Cap;Sportwear;10;127.4;116.79;10.61
10335;2;Mr X Trousers;Mens Clothes;7;163.88;118.0;45.89
10335;31;Rossi Bermuda Shorts;Bath Clothes;25;254.4;183.17;71.23
10335;32;Rossi Bikkini;Bath Clothes;6;134.21;96.63;37.58
10335;51;Snake Boots;Mens Footwear;48;6007.1;4325.11;1681.99
10336;4;Oyaki Kimono;Womens wear;18;459.95;361.27;98.68
10337;23;DSW;Womens Footwear;40;360.0;311.04;48.96
10337;26;Bike Helmet;Sportwear;24;805.2;725.27;79.93
10337;36;Mehmet-Tröja;Babywear;20;159.8;138.07;21.73
10337;37;Mehmet-Skor;Babywear;28;109.2;94.35;14.85
10337;72;Rossi Shorts;Bath Clothes;25;300.75;259.85;40.9
10338;17;TieBreak Tennis shoes;Mens Footwear;20;524.8;453.43;71.37
10338;30;Baby Dark Lounge Suit;Babywear;15;381.0;329.18;51.82
10339;4;Oyaki Kimono;Womens wear;10;213.2;184.2;29.0
10339;17;TieBreak Tennis shoes;Mens Footwear;70;1797.81;1479.34;318.47
10339;62;Sheat Shoes;Sportwear;28;857.08;740.52;116.56
10340;18;Deuce shirt;Babywear;20;510.3;419.9;90.4
10340;41;Duck Shirt;Babywear;12;115.04;94.66;20.38
10340;43;Summer Shorts;Bath Clothes;40;501.06;412.3;88.76
10341;33;Car Boots;Sportwear;8;211.6;182.82;28.78
10341;59;Rasta WCT;Sportwear;9;85.59;64.31;21.29
10342;2;Mr X Trousers;Mens Clothes;24;566.21;407.67;158.54
10342;31;Rossi Bermuda Shorts;Bath Clothes;56;585.98;421.91;164.08
10342;36;Mehmet-Tröja;Babywear;40;362.88;261.27;101.61
10342;55;Feiss Fleece Trousers;Sportwear;40;1800.96;1296.69;504.27
10343;64;WFS shoes;Womens Footwear;50;1697.5;1466.64;230.86
10343;68;Cap;Sportwear;4;48.51;39.92;8.59
10343;76;Minnki Pälsii;Womens wear;15;5862.3;5065.03;797.27
10344;4;Oyaki Kimono;Womens wear;35;727.3;628.39;98.91
10344;8;Tuxedo;Womens wear;70;1697.5;1222.68;474.82
10345;8;Tuxedo;Womens wear;70;1432.2;1237.42;194.78
10345;19;Squash Shorts;Sportwear;80;806.4;696.73;109.67
10345;42;Balett Shoes;Womens Footwear;9;136.71;118.12;18.59
10346;17;TieBreak Tennis shoes;Mens Footwear;36;978.52;768.58;209.94
10346;56;High Heels Shoes;Womens Footwear;20;810.2;700.01;110.19
10347;25;Basket Vest;Sportwear;10;132.1;114.13;17.97
10347;39;Terence Top;Womens wear;50;3376.4;2536.7;839.7
10347;40;Duck Trousers;Babywear;4;68.0;58.75;9.25
10347;75;Bow tie;Mens Clothes;6;53.48;40.18;13.3
10348;1;Lenin Jeansshorts;Mens Clothes;15;334.82;251.55;83.27
10348;23;DSW;Womens Footwear;25;230.75;199.37;31.38
10349;54;Patamonia Fleece Jacket;Sportwear;24;820.32;708.76;111.56
10350;50;Finnish Swimsuit;Sportwear;15;272.09;213.71;58.37
10350;69;Racing Truck  Socks;Sportwear;18;36.23;28.46;7.77
10351;38;Le Baby Dress;Womens wear;20;1575.84;1296.69;279.15
10351;41;Duck Shirt;Babywear;13;135.46;117.04;18.42
10351;44;Okkaba Skin Jackets;Womens wear;77;5961.88;4905.77;1056.1
10351;65;Stretch oui-pants;Womens wear;10;105.84;87.09;18.75
10352;24;Samba Socker  Socks;Mens Clothes;10;47.3;40.87;6.43
10352;54;Patamonia Fleece Jacket;Sportwear;20;871.7;654.91;216.79
10353;11;Desperado Jeans;Mens Clothes;12;428.4;308.45;119.95
10353;38;Le Baby Dress;Womens wear;50;4524.0;3257.28;1266.72
10354;1;Lenin Jeansshorts;Mens Clothes;12;259.8;224.47;35.33
10354;29;Davenport;Mens Footwear;4;521.36;450.46;70.9
10355;24;Samba Socker  Socks;Mens Clothes;25;116.5;100.66;15.84
10355;57;Burned Rubber Shoes;Womens Footwear;25;442.5;382.32;60.18
10356;31;Rossi Bermuda Shorts;Bath Clothes;30;276.6;238.98;37.62
10356;55;Feiss Fleece Trousers;Sportwear;12;487.8;421.46;66.34
10356;69;Racing Truck  Socks;Sportwear;20;41.0;35.42;5.58
10357;10;Sapporoo Gloves;Babywear;30;234.36;168.74;65.62
10357;26;Bike Helmet;Sportwear;16;471.04;406.98;64.06
10357;60;Game Over T-Shirt;Sportwear;8;46.66;35.32;11.34
10358;24;Samba Socker  Socks;Mens Clothes;10;44.52;36.63;7.89
10358;34;Baywatch Bikkini;Bath Clothes;10;86.73;73.11;13.62
10358;36;Mehmet-Tröja;Babywear;20;159.81;131.5;28.31
10359;16;Wimbledon T-Shirt;Sportwear;56;602.11;495.45;106.66
10359;31;Rossi Bermuda Shorts;Bath Clothes;70;639.45;526.18;113.27
10359;60;Game Over T-Shirt;Sportwear;80;458.64;377.4;81.24
10360;28;RDL Suit;Childrens wear;30;1262.1;1090.45;171.65
10360;29;Davenport;Mens Footwear;35;4751.6;4105.38;646.22
10360;38;Le Baby Dress;Womens wear;10;807.4;697.59;109.81
10360;49;Finnish Sport Blades;Sportwear;35;640.15;553.09;87.06
10360;54;Patamonia Fleece Jacket;Sportwear;28;1028.44;888.57;139.87
10361;39;Terence Top;Womens wear;54;3596.08;2824.55;771.52
10361;60;Game Over T-Shirt;Sportwear;55;282.54;221.92;60.62
10362;25;Basket Vest;Sportwear;50;752.0;649.73;102.27
10362;51;Snake Boots;Mens Footwear;20;2195.8;1897.17;298.63
10362;54;Patamonia Fleece Jacket;Sportwear;24;889.68;768.68;121.0
10363;31;Rossi Bermuda Shorts;Bath Clothes;20;186.0;174.01;11.99
10363;75;Bow tie;Mens Clothes;12;96.72;83.57;13.15
10363;76;Minnki Pälsii;Womens wear;12;5190.36;4735.04;455.32
10364;69;Racing Truck  Socks;Sportwear;30;61.5;53.14;8.36
10364;71;Atles Lussekofta;Mens Clothes;5;148.65;128.43;20.22
10365;11;Desperado Jeans;Mens Clothes;24;707.52;611.3;96.22
10366;65;Stretch oui-pants;Womens wear;5;45.6;39.4;6.2
10366;77;Skirt;Womens wear;5;63.55;54.91;8.64
10367;34;Baywatch Bikkini;Bath Clothes;36;272.16;256.69;15.47
10367;54;Patamonia Fleece Jacket;Sportwear;18;672.66;581.18;91.48
10367;65;Stretch oui-pants;Womens wear;15;141.15;121.95;19.2
10367;77;Skirt;Womens wear;7;99.61;86.06;13.55
10368;21;Basket Shoes;Sportwear;5;57.92;45.49;12.43
10368;28;RDL Suit;Childrens wear;13;678.82;533.18;145.64
10368;57;Burned Rubber Shoes;Womens Footwear;25;451.25;389.88;61.37
10368;64;WFS shoes;Womens Footwear;35;1245.09;977.96;267.13
10369;29;Davenport;Mens Footwear;20;2355.6;2035.24;320.36
10369;56;High Heels Shoes;Womens Footwear;18;886.95;613.06;273.89
10370;1;Lenin Jeansshorts;Mens Clothes;15;371.91;292.98;78.93
10370;64;WFS shoes;Womens Footwear;30;1020.6;881.8;138.8
10370;74;Nikee Running Shoes;Childrens wear;20;750.72;564.02;186.7
10371;36;Mehmet-Tröja;Babywear;6;55.94;40.28;15.66
10372;20;Tennis Suit;Sportwear;12;1218.6;842.3;376.3
10372;38;Le Baby Dress;Womens wear;40;3897.0;2703.0;1194.0
10372;60;Game Over T-Shirt;Sportwear;70;463.75;320.54;143.21
10372;72;Rossi Shorts;Bath Clothes;42;564.38;390.1;174.28
10373;58;Ga-Ga Dress;Babywear;80;5094.72;3668.2;1426.52
10373;71;Atles Lussekofta;Mens Clothes;50;1907.4;1373.33;534.07
10374;31;Rossi Bermuda Shorts;Bath Clothes;30;273.3;236.13;37.17
10374;58;Ga-Ga Dress;Babywear;15;773.55;668.35;105.2
10375;14;Kool Sunglasses;Childrens wear;15;323.85;279.81;44.04
10375;54;Patamonia Fleece Jacket;Sportwear;10;329.5;284.69;44.81
10376;31;Rossi Bermuda Shorts;Bath Clothes;42;341.33;280.87;60.46
10377;28;RDL Suit;Childrens wear;20;947.14;711.59;235.55
10377;39;Terence Top;Womens wear;20;1374.94;1033.0;341.94
10378;71;Atles Lussekofta;Mens Clothes;6;169.14;148.16;20.98
10379;41;Duck Shirt;Babywear;8;82.1;64.49;17.61
10379;63;Serve-Shirt;Womens wear;16;358.16;281.32;76.84
10379;65;Stretch oui-pants;Womens wear;20;220.0;172.8;47.2
10380;30;Baby Dark Lounge Suit;Babywear;18;505.1;396.73;108.37
10380;53;Jumpin Jack Flash Dress;Womens wear;20;1341.12;1053.39;287.73
10380;60;Game Over T-Shirt;Sportwear;6;31.68;24.88;6.8
10380;70;US-Master Jeans;Mens Clothes;30;814.5;674.41;140.09
10381;74;Nikee Running Shoes;Childrens wear;14;428.26;354.6;73.66
10382;5;O-Man Underwear;Mens Clothes;32;179.84;148.91;30.93
10382;18;Deuce shirt;Babywear;9;241.02;199.56;41.46
10382;29;Davenport;Mens Footwear;14;1811.32;1499.77;311.55
10382;33;Car Boots;Sportwear;60;1649.4;1365.7;283.7
10382;74;Nikee Running Shoes;Childrens wear;50;1360.5;1126.49;234.01
10383;13;Aino Shoes;Babywear;20;523.6;433.54;90.06
10383;50;Finnish Swimsuit;Sportwear;15;231.45;191.64;39.81
10383;56;High Heels Shoes;Womens Footwear;20;826.4;684.26;142.14
10384;20;Tennis Suit;Sportwear;28;2422.28;2015.97;406.31
10384;60;Game Over T-Shirt;Sportwear;15;79.8;66.07;13.73
10385;7;Conserve Shoes;Childrens wear;10;433.56;299.16;134.4
10385;60;Game Over T-Shirt;Sportwear;20;119.76;82.63;37.13
10385;68;Cap;Sportwear;8;131.04;90.42;40.62
10386;24;Samba Socker  Socks;Mens Clothes;15;61.65;51.05;10.6
10386;34;Baywatch Bikkini;Bath Clothes;10;84.8;70.21;14.59
10387;24;Samba Socker  Socks;Mens Clothes;15;72.75;65.56;7.19
10387;28;RDL Suit;Childrens wear;6;285.06;236.03;49.03
10387;59;Rasta WCT;Sportwear;12;106.44;88.13;18.31
10387;71;Atles Lussekofta;Mens Clothes;15;434.85;360.06;74.79
10388;45;Danske Treshoe;Mens Footwear;15;156.6;108.05;48.55
10388;52;Small Crocodile Boots;Womens Footwear;20;1983.6;1368.68;614.92
10388;53;Jumpin Jack Flash Dress;Womens wear;40;2511.6;2079.6;432.0
10389;10;Sapporoo Gloves;Babywear;16;101.28;83.86;17.42
10389;55;Feiss Fleece Trousers;Sportwear;15;562.35;465.63;96.72
10389;62;Sheat Shoes;Sportwear;20;633.6;524.62;108.98
10389;70;US-Master Jeans;Mens Clothes;30;838.8;694.53;144.27
10390;31;Rossi Bermuda Shorts;Bath Clothes;60;595.98;448.61;147.37
10390;35;LA. Shorts;Bath Clothes;40;288.64;217.27;71.37
10390;46;Rodbye Troje;Babywear;45;487.35;403.53;83.82
10390;72;Rossi Shorts;Bath Clothes;24;288.82;217.4;71.42
10391;13;Aino Shoes;Babywear;18;416.16;345.24;70.92
10392;69;Racing Truck  Socks;Sportwear;50;104.5;86.53;17.97
10393;2;Mr X Trousers;Mens Clothes;25;599.06;410.22;188.84
10393;14;Kool Sunglasses;Childrens wear;42;1146.08;759.16;386.91
10393;25;Basket Vest;Sportwear;7;126.18;83.58;42.6
10393;26;Bike Helmet;Sportwear;70;2749.25;1866.97;882.28
10393;31;Rossi Bermuda Shorts;Bath Clothes;32;257.6;213.29;44.31
10394;13;Aino Shoes;Babywear;10;270.4;223.89;46.51
10394;62;Sheat Shoes;Sportwear;10;266.7;220.83;45.87
